"name","market_value","rank","strength_score"
"France","1268000000","1","94"
"Spain","1362000000","2","97"
"Argentina","783500000","3","92"
"England","1308750000","4","94"
"Portugal","892500000","5","89"
"Brazil","712200000","6","89"
"Netherlands","762000000","7","86"
"Morocco","571800000","8","80"
"Belgium","516900000","9","83"
"Germany","751000000","10","84"
"Croatia","389700000","11","80"
"Colombia","304750000","13","77"
"Senegal","508800000","14","74"
"Mexico","296550000","15","74"
"USA","421150000","16","76"
"Uruguay","370600000","17","79"
"Japan","227900000","18","72"
"Switzerland","337100000","19","76"
"Iran","23650000","21","64"
"Türkiye","493200000","22","71"
"Ecuador","396750000","23","72"
"Austria","270900000","24","71"
"South Korea","139300000","25","67"
"Australia","63850000","27","64"
"Algeria","230050000","28","64"
"Egypt","132050000","29","64"
"Canada","162100000","30","60"
"Norway","520000000","31","66"
"Panama","37000000","33","51"
"Ivory Coast","535900000","34","66"
"Sweden","308675000","38","70"
"Paraguay","143700000","40","62"
"Czech Republic","181575000","41","64"
"Scotland","206300000","43","66"
"Tunisia","52300000","44","53"
"Congo DR","149600000","46","55"
"Uzbekistan","52475000","50","52"
"Qatar","14575000","55","53"
"Iraq","11675000","57","49"
"South Africa","48100000","60","53"
"Saudi Arabia","19000000","61","53"
"Jordan","13500000","63","49"
"Bosnia & Herzegovina","149100000","65","58"
"Cape Verde Islands","54750000","69","49"
"Ghana","200275000","74","60"
"Curaçao","21825000","82","46"
"Haiti","53675000","83","48"
"New Zealand","35600000","85","49"
